barrier,sex,n_unweighted,weighted_population,очень мешает_pct,мешает_pct,не мешает_pct,трудно сказать / отказ_pct,very_or_somewhat_hinders_pct
housing_difficulties,Все,3140,11570641.984183433,19.441307769729626,25.927688460932824,49.31974974568361,5.311254023653942,45.36899623066245
housing_difficulties,Женщины,1476,5644147.530221521,20.264864626429162,25.332621272157475,49.409724056854266,4.9927900445591105,45.597485898586626
housing_difficulties,Мужчины,1664,5926494.453961911,18.65698637453617,26.494405772478956,49.23406194320237,5.614545909782512,45.151392147015116
mortgage_credit_payment,Все,3140,11570641.984183433,15.943313830893791,17.767629159030275,59.67660383854562,6.612453171530312,33.71094298992406
mortgage_credit_payment,Женщины,1476,5644147.530221521,16.54119837983618,18.010287868203168,59.84929593857268,5.59921781338798,34.55148624803935
mortgage_credit_payment,Мужчины,1664,5926494.453961911,15.373913382368126,17.536531068126067,59.51213904448767,7.577416505018133,32.9104444504942
