source;row;territory_source_name;age_group;status
women15_49;469;Уральский экономический район;30-34 лет;not_matched
women15_49;470;Западно-Сибирский экономический район;30-34 лет;not_matched
women15_49;471;Восточно-Сибирский экономический район;30-34 лет;not_matched
women15_49;472;Дальневосточный экономический район;30-34 лет;not_matched
women15_49;533;Коми-Пермяцкий округ, входящий в состав Пермского края;35-39 лет;not_matched
women15_49;556;Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);35-39 лет;not_matched
women15_49;557;Эвенкийский автономный округ (Красноярский край);35-39 лет;not_matched
women15_49;559;Усть-Ордынский Бурятский округ;35-39 лет;not_matched
women15_49;568;Агинский Бурятский округ (Забайкальский край);35-39 лет;not_matched
women15_49;571;Корякский округ, входящий в состав Камчатского края;35-39 лет;not_matched
women15_49;579;Северный экономический район;35-39 лет;not_matched
women15_49;580;Северо-Западный экономический район;35-39 лет;not_matched
women15_49;581;Центральный экономический район;35-39 лет;not_matched
women15_49;582;Волго-Вятский экономический район;35-39 лет;not_matched
women15_49;583;Центрально-Черноземный экономический район;35-39 лет;not_matched
women15_49;584;Поволжский экономический район;35-39 лет;not_matched
women15_49;585;Северо-Кавказский экономический район;35-39 лет;not_matched
women15_49;586;Уральский экономический район;35-39 лет;not_matched
women15_49;587;Западно-Сибирский экономический район;35-39 лет;not_matched
women15_49;588;Восточно-Сибирский экономический район;35-39 лет;not_matched
women15_49;589;Дальневосточный экономический район;35-39 лет;not_matched
women15_49;650;Коми-Пермяцкий округ, входящий в состав Пермского края;40-44 лет;not_matched
women15_49;673;Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);40-44 лет;not_matched
women15_49;674;Эвенкийский автономный округ (Красноярский край);40-44 лет;not_matched
women15_49;676;Усть-Ордынский Бурятский округ;40-44 лет;not_matched
women15_49;685;Агинский Бурятский округ (Забайкальский край);40-44 лет;not_matched
women15_49;688;Корякский округ, входящий в состав Камчатского края;40-44 лет;not_matched
women15_49;696;Северный экономический район;40-44 лет;not_matched
women15_49;697;Северо-Западный экономический район;40-44 лет;not_matched
women15_49;698;Центральный экономический район;40-44 лет;not_matched
women15_49;699;Волго-Вятский экономический район;40-44 лет;not_matched
women15_49;700;Центрально-Черноземный экономический район;40-44 лет;not_matched
women15_49;701;Поволжский экономический район;40-44 лет;not_matched
women15_49;702;Северо-Кавказский экономический район;40-44 лет;not_matched
women15_49;703;Уральский экономический район;40-44 лет;not_matched
women15_49;704;Западно-Сибирский экономический район;40-44 лет;not_matched
women15_49;705;Восточно-Сибирский экономический район;40-44 лет;not_matched
women15_49;706;Дальневосточный экономический район;40-44 лет;not_matched
women15_49;767;Коми-Пермяцкий округ, входящий в состав Пермского края;45-49 лет;not_matched
women15_49;790;Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);45-49 лет;not_matched
women15_49;791;Эвенкийский автономный округ (Красноярский край);45-49 лет;not_matched
women15_49;793;Усть-Ордынский Бурятский округ;45-49 лет;not_matched
women15_49;802;Агинский Бурятский округ (Забайкальский край);45-49 лет;not_matched
women15_49;805;Корякский округ, входящий в состав Камчатского края;45-49 лет;not_matched
women15_49;813;Северный экономический район;45-49 лет;not_matched
women15_49;814;Северо-Западный экономический район;45-49 лет;not_matched
women15_49;815;Центральный экономический район;45-49 лет;not_matched
women15_49;816;Волго-Вятский экономический район;45-49 лет;not_matched
women15_49;817;Центрально-Черноземный экономический район;45-49 лет;not_matched
women15_49;818;Поволжский экономический район;45-49 лет;not_matched
women15_49;819;Северо-Кавказский экономический район;45-49 лет;not_matched
women15_49;820;Уральский экономический район;45-49 лет;not_matched
women15_49;821;Западно-Сибирский экономический район;45-49 лет;not_matched
women15_49;822;Восточно-Сибирский экономический район;45-49 лет;not_matched
women15_49;823;Дальневосточный экономический район;45-49 лет;not_matched
