housing_condition,sex,n_unweighted,weighted_population,desired_children_mean,expected_children_mean,gap_mean,share_positive_gap_pct,prob_birth_no_support_3y_mean,prob_birth_with_support_3y_mean,prob_birth_delta_3y_mean
90–100 — очень хорошие,Все,3472,13683640.471560242,2.0165305868336634,1.8403420717773222,0.17618851505634114,13.421038833754007,0.2736613134068026,0.3329156278044423,0.06501358784292209
90–100 — очень хорошие,Женщины,1684,6835084.6513867285,1.9979068538453038,1.8221603577982664,0.1757464960470374,14.158056116869835,0.3129994055445826,0.38019190584817386,0.07458907935446
90–100 — очень хорошие,Мужчины,1788,6848555.820173513,2.035469466808547,1.858596292055539,0.1768731747530079,12.685471270036007,0.23440059963795942,0.28573234261027797,0.055456931406362826
70–80 — хорошие,Все,6398,23624374.891786754,2.0115970877525466,1.8289455753967663,0.18265151235578037,14.366807812845261,0.2691118307003187,0.3428027497642482,0.07825757086348434
70–80 — хорошие,Женщины,3102,11625807.042002538,2.0205061725828974,1.82673680560795,0.1937693669749474,15.061228211461694,0.2948668896901674,0.37937417639625,0.09011409931941301
70–80 — хорошие,Мужчины,3296,11998567.849784218,2.0028520095274454,1.8310906240556402,0.1717613854718052,13.693961048013218,0.24415690691941438,0.30736749160699633,0.06676939046209435
50–60 — средние,Все,3641,12950313.540628571,2.067887225388163,1.8472906035941765,0.22059662179398654,17.604865645605585,0.24233727000934321,0.33808058281846837,0.10087434401445056
50–60 — средние,Женщины,1734,6292377.890633108,2.0846575212882543,1.8807792475405305,0.20387827374772383,17.712821347633092,0.26331854085285167,0.37054675999821257,0.11205731793935561
50–60 — средние,Мужчины,1907,6657935.649995463,2.05185494731185,1.815386320146869,0.23646862716498096,17.502837313053874,0.22250798782438133,0.30739697963895457,0.0903053776597446
30–40 — плохие,Все,1222,4189446.050874778,2.0051077739479495,1.7621742865419578,0.24293348740599163,16.527141930182438,0.19768580970961303,0.30099111892332164,0.1069563022886757
30–40 — плохие,Женщины,564,1994050.1758084781,2.034313692068043,1.8333419193927516,0.20097177267529132,15.74456217468478,0.22265125881741413,0.3324790565741585,0.11431688850411699
30–40 — плохие,Мужчины,658,2195395.8750662995,1.9776967169447042,1.6951031837489001,0.28259353319580405,17.237949177639408,0.1750100095279966,0.27239102528116643,0.10027077536223429
0–20 — очень плохие,Все,255,878616.0451496254,1.8097769627512614,1.6042035669688472,0.20557339578241418,13.297789985084846,0.17872095281603206,0.28929253879766514,0.11223048264723517
0–20 — очень плохие,Женщины,122,464460.4033240161,1.820692252677046,1.5925221083995824,0.22817014427746352,14.680920667370575,0.2105947540448302,0.35197021195916506,0.14137545791433487
0–20 — очень плохие,Мужчины,133,414155.64182560926,1.7973464727236552,1.617514212897959,0.17983225982569628,11.746659517049945,0.14297565061770842,0.21900182097072046,0.07954545894997128
