subject;region_slug;federal_district;settlements;municipalities;population;children;urban_population;rural_population;avg_score;engineering_score;social_score;data_confidence_note
Республика Дагестан;respublika_dagestan;Северо-Кавказский федеральный округ;1644;51;3058365;891221;1340498;1717867;85.6;81.9;98.9;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Республика Ингушетия;respublika_ingushetiya;Северо-Кавказский федеральный округ;43;8;452460;142948;164927;287533;85.9;82.7;97.3;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Республика Калмыкия;respublika_kalmykiya;Южный федеральный округ;264;14;272647;65650;124228;148419;78.8;74.7;93.0;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Республика Карелия;respublika_kareliya;Северо-Западный федеральный округ;829;18;620419;121374;500254;120165;86.9;86.7;97.8;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Республика Коми;respublika_komi;Северо-Западный федеральный округ;756;20;860807;188420;663926;196881;88.4;91.0;95.4;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Республика Крым;respublika_krym;Южный федеральный округ;1020;25;2342615;246021;1649687;692928;89.6;93.5;98.8;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Республика Марий Эл;respublika_mariy_el;Приволжский федеральный округ;1619;17;682308;147506;454492;227816;90.4;93.0;98.3;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Республика Мордовия;respublika_mordoviya;Приволжский федеральный округ;1257;23;795473;134412;513063;282410;89.0;92.6;97.3;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Республика Саха (Якутия);respublika_saha_yakutiya;Дальневосточный федеральный округ;635;36;965567;263892;628608;336959;79.2;77.7;87.7;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Республика Северная Осетия - Алания;respublika_severnaya_osetiya_alaniya;Северо-Кавказский федеральный округ;216;9;731779;162993;480908;250871;88.6;87.7;98.7;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
